#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2023-04-06 08:38:50 EDT     (vaww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 09246500 ELKHEAD CREEK NEAR CRAIG, CO
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	12s	7s	6s	21s	15s
USGS	09246500	110	2016-05-12 17:03:32	MDT	Yes	JBF	USGS	4.44	719	Good	-0.03	0.30	Clear	NONE
USGS	09246500	111	2016-06-07 13:02:00	MDT	Yes	JBF	USGS	3.42	276	Fair	0.00	0.90	DebrisLight	NONE
USGS	09246500	112	2016-06-27 14:26:30	MDT	Yes	JBF	USGS	2.04	30.2	Fair	-0.05	0.50	Clear	NONE
USGS	09246500	113	2016-07-26 14:59:30	MDT	Yes	JBF	USGS	2.26	7.97	Fair	0.00	0.30	DebrisLight	NONE
USGS	09246500	114	2016-08-08 16:20:00	MDT	Yes	JBF	USGS	1.13	0.03	Poor	0.00	0.10	DebrisModerate	NONE
USGS	09246500	115	2016-08-29 12:07:00	MDT	Yes	JBF	USGS	2.73	70.1	Fair	0.00	0.60	DebrisModerate	NONE
USGS	09246500	116	2016-08-29 14:03:30	MDT	Yes	JBF	USGS	2.48	73.8	Good	0.00	0.50	DebrisModerate	NONE
USGS	09246500	117	2016-10-05 13:06:00	MDT	Yes	JBF	USGS	1.85	18.9	Good	0.00	0.40	DebrisModerate	NONE
USGS	09246500	118	2016-10-20 11:17:30	MDT	Yes	JBF	USGS	1.54	4.96	Good	-0.01	0.40	DebrisLight	NONE
USGS	09246500	119	2016-11-15 16:24:00	MST	Yes	JBF	USGS	1.52	4.49	Good	0.00	0.40	Clear	NONE
USGS	09246500	120	2017-01-20 13:17:00	MST	Yes	JBF	USGS	1.77	1.56	Poor	0.00	0.50	IceShore	OTHR
USGS	09246500	121	2017-03-14 17:45:00	MDT	Yes	JBF	USGS	2.40	67.8	Good	0.00	0.50	DebrisLight	NONE
USGS	09246500	122	2017-03-17 08:59:30	MDT	Yes	JBF	USGS	2.37	62.4	Fair	0.00	0.60	DebrisLight	NONE
USGS	09246500	123	2017-04-26 09:57:51	MDT	Yes	JBF	USGS	4.32	626	Good	0.00	0.30	Clear	NONE
USGS	09246500	124	2017-05-09 14:06:31	MDT	Yes	JBF	USGS	5.15	916	Fair	-0.01	0.30	Clear	NONE
USGS	09246500	125	2017-05-31 09:24:00	MDT	Yes	JBF	USGS	3.38	289	Good	0.01	0.90	Clear	NONE
USGS	09246500	126	2017-06-14 16:36:00	MDT	Yes	JBF	USGS	2.60	97.9	Good	-0.01	0.60	DebrisLight	NONE
USGS	09246500	127	2017-06-26 16:00:00	MDT	Yes	JBF	USGS	1.91	20.7	Good	-0.01	0.50	VegetationLight	NONE
USGS	09246500	128	2017-08-22 16:52:00	MDT	Yes	JBF	USGS	1.41	1.25	Fair	-0.02	0.40	DebrisLight	NONE
USGS	09246500	129	2017-10-02 12:59:30	MDT	Yes	JBF	USGS	2.09	33.9	Good	0.00	0.50	Clear	NONE
USGS	09246500	130	2017-11-15 17:15:30	MST	Yes	JBF	USGS	1.62	4.20	Good	-0.01	0.40	DebrisHeavy	NONE
USGS	09246500	131	2018-01-10 15:18:30	MST	Yes	JBF	USGS	1.70	7.08	Poor	0.01	0.30	Clear	NONE
USGS	09246500	132	2018-03-07 16:30:30	MST	Yes	JBF	USGS	1.65	5.92	Good	0.00	0.40	Clear	NONE
USGS	09246500	133	2018-03-27 16:55:30	MDT	Yes	JBF	USGS	1.62	6.15	Good	0.00	0.40	DebrisModerate	NONE
USGS	09246500	134	2018-04-17 08:44:30	MDT	Yes	JBF	USGS	3.25	238	Good	0.06	0.90	DebrisLight	NONE
USGS	09246500	135	2018-06-06 16:39:30	MDT	Yes	JBF	USGS	1.93	15.4	Fair	0.00	0.30	DebrisModerate	NONE
USGS	09246500	136	2018-07-11 17:28:00	MDT	Yes	JBF	USGS	1.32	0.00	Excellent			DebrisLight	NONE
USGS	09246500	137	2018-07-31 08:52:30	MDT	Yes	TDB	USGS	2.36	50.4	Good	0.00	0.60	DebrisLight	NONE
USGS	09246500	138	2018-08-14 13:06:30	MDT	Yes	AAH	USGS	2.47	68.8	Fair	0.00	0.50	VegetationLight	NONE
USGS	09246500	139	2018-08-23 13:32:00	MDT	Yes	JBF	USGS	2.10	26.8	Good	0.00	0.50	DebrisLight	NONE
USGS	09246500	140	2018-10-03 14:57:51	MDT	Yes	JBF	USGS	2.03	22.0	Good	-0.01	0.65	DebrisHeavy	NONE
USGS	09246500	141	2018-11-15 16:18:23	MST	Yes	JBF	USGS	1.80	4.06	Poor	0.00	0.35	DebrisLight	NONE
USGS	09246500	142	2019-02-06 15:17:00	MST	Yes	JBF	USGS	1.71	2.75	Poor	-0.02	0.30	IceCover	NONE
USGS	09246500	143	2019-03-27 11:01:26	MDT	Yes	JBF	USGS	1.74	4.72	Fair	0.00	0.50	DebrisLight	NONE
USGS	09246500	144	2019-04-16 16:02:00	MDT	Yes	JBF	USGS	3.06	176	Fair	0.00	0.60	DebrisModerate	OTHR
USGS	09246500	145	2019-05-07 12:00:09	MDT	Yes	JBF	USGS	5.69	1130	Fair	-0.05	0.20	Clear	NONE
USGS	09246500	146	2019-06-13 16:56:00	MDT	Yes	JBF	USGS	3.03	177	Poor	-0.03	0.50	Clear	NONE
USGS	09246500	147	2019-07-11 15:53:30	MDT	Yes	JBF	USGS	2.14	28.4	Good	-0.02	0.40	VegetationModerate	NONE
USGS	09246500	148	2019-08-15 07:14:00	MDT	Yes	JBF	USGS	1.66	5.00	Good	0.01	0.30	Clear	NONE
USGS	09246500	149	2019-10-07 16:21:00	MDT	Yes	JBF	USGS	2.16	30.3	Fair	-0.01	0.35	DebrisLight	NONE
USGS	09246500	150	2019-12-05 09:05:00	MST	Yes	JBF/KJL	USGS	1.72	6.25	Fair	-0.03	0.55	DebrisHeavy	NONE
USGS	09246500	151	2020-03-31 11:08:40	MDT	Yes	KJL	USGS	1.75	7.96	Fair	0.11	0.75	Clear	NONE
USGS	09246500	152	2020-04-28 13:49:00	MDT	Yes	her	USGS	5.70	1160	Fair	0.02	0.50	Clear	NONE
USGS	09246500	153	2020-05-05 13:58:30	MDT	Yes	HER	USGS	5.55	1100	Fair	0.05	0.50	Clear	NONE
USGS	09246500	154	2020-06-17 09:31:00	MDT	Yes	HER	USGS	2.11	42.1	Good	0.01	0.50	Clear	NONE
USGS	09246500	155	2020-07-16 14:46:02	MDT	No									
USGS	09246500	156	2020-07-16 15:16:18	MDT	Yes	KLC	USGS	1.34	0.05	Poor	0.00	0.30	VegetationModerate	NONE
USGS	09246500	157	2020-08-11 08:12:30	MDT	Yes	her	USGS	2.08	31.7	Fair	0.00	0.50	VegetationLight	NONE
USGS	09246500	158	2020-08-26 15:45:00	MDT	Yes	HER	USGS	2.54	97.1	Fair	0.00	0.50	VegetationModerate	NONE
USGS	09246500	159	2020-10-06 14:32:00	MDT	Yes	HER	USGS	1.76	9.18	Fair	0.00	0.50	Clear	NONE
USGS	09246500	160	2020-11-17 16:03:00	MST	Yes	HER	USGS	1.70	4.99	Fair			Clear	NONE
USGS	09246500	161	2021-01-13 16:29:00	MST	Yes	HER	USGS	2.06	4.89	Poor			IceCover	NONE
USGS	09246500	162	2021-02-22 12:15:30	MST	Yes	HER	USGS	2.00	5.59	Poor	0.00	0.50	IceCover	NONE
USGS	09246500	163	2021-04-06 18:02:00	MDT	Yes	HER	USGS	1.72	5.44	Fair	0.00		Clear	NONE
USGS	09246500	164	2021-05-19 18:40:00	MDT	No									
USGS	09246500	165	2021-05-20 08:31:22	MDT	Yes	EAK	USGS	2.75	116	Good	0.00	1.00	Clear	NONE
USGS	09246500	166	2021-06-08 16:07:30	MDT	Yes	HER	USGS	1.87	12.3	Good	0.00	0.50	VegetationLight	NONE
USGS	09246500	167	2021-06-29 11:51:14	MDT	Yes	EAK	USGS	1.48	0.19	Poor	0.00	0.53	Clear	NONE
USGS	09246500	168	2021-06-29 13:10:33	MDT	Yes	EAK	USGS	1.48	0.18	Poor	0.00	1.07	Clear	NONE
USGS	09246500	169	2021-07-22 12:07:30	MDT	Yes	HER	USGS	1.95	18.1	Good			Clear	NONE
USGS	09246500	170	2021-07-22 12:31:30	MDT	Yes	HER	USGS	1.96	18.2	Fair			Clear	NONE
USGS	09246500	171	2021-08-30 17:19:30	MDT	Yes	HER	USGS	2.45	68.3	Fair			VegetationLight	NONE
USGS	09246500	172	2021-09-15 13:32:20	MDT	Yes	EAK	USGS	2.43	65.2	Fair	-0.01	0.93	Clear	NONE
USGS	09246500	173	2021-10-06 08:01:30	MDT	Yes	HER	USGS	2.17	37.5	Fair	0.00	0.50	Clear	NONE
USGS	09246500	174	2021-10-14 08:59:59	MDT	Yes	HER/GPS	USGS	1.65	2.45	Fair			Clear	NONE
